country,countrycode,arrest_mean,arrest_sd,arrest_10,arrest_90,assem_mean,assem_sd,assem_10,assem_90,assoc_mean,assoc_sd,assoc_10,assoc_90,assem_assoc_mean,assem_assoc_sd,assem_assoc_10,assem_assoc_90,disap_mean,disap_sd,disap_10,disap_90,execution_mean,execution_sd,execution_10,execution_90,dpex_mean,dpex_sd,dpex_10,dpex_90,exkill_mean,exkill_sd,exkill_10,exkill_90,express_mean,express_sd,express_10,express_90,polpart_mean,polpart_sd,polpart_10,polpart_90,tort_mean,tort_sd,tort_10,tort_90
Angola,1,6.2939477,.70241588,5.3863854,7.2372456,4.7022738,.60583377,3.9357095,5.498744,5.2541957,.7703343,4.2561898,6.2577348,4.8694339,.44078538,4.2926297,5.4297214,8.6250544,.84668654,7.5218349,9.7146473,5.8318624,.79854393,4.805665,6.8987718,9.5703754,.48585925,8.9473257,10.209561,5.8318624,.79854393,4.805665,6.8987718,4.000701,.50914168,3.3303258,4.6631627,4.3837142,.53050613,3.6956606,5.0557733,4.4027972,.5783869,3.662277,5.167345
Australia,2,5.7986951,.85206097,4.6939607,6.885006,6.7108264,.42285603,6.1810689,7.2691507,7.5439496,.43554997,6.9912319,8.1028862,7.1417837,.33734974,6.7002654,7.5652609,8.5451555,.4617621,7.9576616,9.122056,8.980834,.40270397,8.4542103,9.4829311,9.2809,.27932855,8.9235849,9.6506844,8.980834,.40270397,8.4542103,9.4829311,6.6724124,.33736548,6.2331233,7.0976644,7.7947211,.36802909,7.3298163,8.262579,6.033298,.5496003,5.338748,6.7366905
Brazil,3,5.7448716,1.4361875,3.9138682,7.5463657,5.6155825,.74607509,4.6749206,6.5579462,7.5477133,.6394062,6.7323132,8.3524942,6.7060113,.66273689,5.8839197,7.5567088,7.6174688,1.100396,6.2378721,8.9946899,4.5803671,.62882721,3.7478337,5.390039,9.5201139,.70511097,8.6141806,10.430345,4.5803671,.62882721,3.7478337,5.390039,5.3203888,.46783507,4.7345986,5.9298801,6.7273116,.63201153,5.9282069,7.5322762,4.7544107,1.1182199,3.3251746,6.1987438
Fiji,4,7.6331143,.43031058,7.0731101,8.1870689,6.398273,.54073393,5.6925817,7.0875807,5.9987121,.48637915,5.3683715,6.6022844,6.1838417,.34306234,5.7548628,6.6323848,10.079462,.49023768,9.4574232,10.711393,9.7664003,.47712046,9.1420059,10.380242,9.9933605,.40974006,9.4753456,10.504363,9.7664003,.47712046,9.1420059,10.380242,4.5265493,.32160065,4.1121182,4.9530344,5.9744463,.48512787,5.3353906,6.5719876,7.1331944,.57429576,6.41258,7.8731794
Kazakhstan,5,5.830471,.42144012,5.277451,6.3673496,3.2409408,.3686547,2.7665558,3.7312441,3.804795,.47742864,3.2020218,4.4088993,3.461591,.27875766,3.1042948,3.8284552,8.0693579,.41981685,7.5339899,8.615344,8.1516457,.61910367,7.3703904,8.96418,8.9073095,.34712225,8.463377,9.3525286,8.1516457,.61910367,7.3703904,8.96418,3.5958784,.25196996,3.2747717,3.9230988,3.8502896,.43343094,3.2978117,4.4105616,4.672945,.46769321,4.0564685,5.2735438
Kyrgyzstan,6,5.6381378,.71329612,4.7157426,6.560668,4.9920416,.50488019,4.3322864,5.6306729,5.6026578,.63748068,4.7932954,6.4034739,5.1890163,.36881965,4.7319493,5.6642485,7.4576836,.77069563,6.4685202,8.4279976,8.0510941,.77103686,7.0614352,9.0448666,8.861167,.68407065,7.9962988,9.7386742,8.0510941,.77103686,7.0614352,9.0448666,4.8107648,.61382931,4.039382,5.5714173,4.9463615,.50885725,4.2738018,5.6090627,4.3531814,.64324737,3.5193374,5.1794763
Liberia,7,7.6287274,.77157766,6.6233029,8.6070938,6.4695249,.61486286,5.7072949,7.2488513,7.7598238,.55137384,7.0466366,8.4628086,7.2328706,.42562628,6.6917329,7.7804523,9.4846439,.68896121,8.5904522,10.354093,9.0254221,.6504072,8.1774702,9.8516521,9.5770531,.50087249,8.9290695,10.22751,9.0254221,.6504072,8.1774702,9.8516521,7.8256178,.64954644,7.0117602,8.6643591,6.8010392,.90980083,5.6381512,7.9337244,5.453846,1.2691485,3.8243215,7.0560799
Mexico,8,2.7001224,.53415757,2.0017612,3.3831999,5.0577488,.52849489,4.3825479,5.761065,6.4344883,.765966,5.4048705,7.4029269,5.5441599,.51589572,4.8675718,6.2114348,3.6827993,.88663,2.5543725,4.828301,3.9847379,.80050778,2.956233,4.9737639,9.1982288,.43579817,8.6356392,9.7545872,3.9847379,.80050778,2.956233,4.9737639,4.5891037,.31478968,4.1696,4.9871883,6.0726976,.60474718,5.2897658,6.8516927,3.0284047,.60972422,2.2703505,3.8243217
Mozambique,9,6.7806606,.97873819,5.5466604,8.0270367,6.2548695,.60258579,5.4893026,7.0511994,6.7611341,.47007629,6.1608725,7.3558536,6.5674171,.35121095,6.1244335,7.0168667,7.0344696,1.1186614,5.6077857,8.413866,6.0015974,.73853415,5.0898404,6.9484372,9.6971474,.54179049,8.9796247,10.375597,6.0015974,.73853415,5.0898404,6.9484372,5.3052416,.66151005,4.4734869,6.1787481,4.9077821,.50225961,4.2647676,5.5505209,5.9379745,1.147276,4.4357538,7.4010887
Nepal,10,5.7064385,.64489412,4.870913,6.5238419,7.5184402,.47310609,6.9273252,8.1271324,7.386929,.55592805,6.6862559,8.1215315,7.5119328,.31998298,7.0969691,7.9020271,8.3389673,.7411077,7.4081001,9.2735186,7.711575,.6088962,6.9176598,8.4689045,9.2202015,.56121856,8.5022993,9.9214449,7.711575,.6088962,6.9176598,8.4689045,7.9847741,.55439633,7.2753935,8.6964359,7.6662331,.69355398,6.8065314,8.5458946,5.3345737,.6494509,4.4970536,6.189918
NewZealand,11,8.6911135,.61710817,7.8839784,9.4887409,7.6612792,.24270105,7.3547873,7.9821262,7.7540441,.34531879,7.3037925,8.1958256,7.678977,.19225809,7.4375987,7.9231725,9.7558107,.5962382,8.992506,10.530626,9.7553864,.55902421,9.0389214,10.469745,9.7149906,.51348954,9.0407753,10.3789,9.7553864,.55902421,9.0389214,10.469745,7.6082425,.29734159,7.2313657,7.9787269,7.2856836,.392216,6.7747526,7.7873564,8.3835468,.52433509,7.7106624,9.0204706
SaudiArabia,12,2.9138596,.24415052,2.5902574,3.2260838,3.0469947,.2293352,2.7528548,3.3427687,3.1118658,.28563783,2.7499993,3.4805338,3.1051128,.16121258,2.8921454,3.3103478,4.2154198,.64041215,3.400584,5.016706,3.1462998,.44425979,2.5631261,3.6978829,3.1462998,.44425979,2.5631261,3.6978829,6.6711431,.5944044,5.896596,7.4153032,2.9842546,.21291612,2.7087982,3.2639229,3.3567991,.39906231,2.8342602,3.8717015,4.3401732,.54433388,3.6454036,5.052187
UnitedKingdom,13,7.8465633,.534603,7.1314049,8.5245476,7.2057533,.30544406,6.8080697,7.5936613,6.8445411,.43105802,6.3026371,7.4025116,7.088563,.24038631,6.7767158,7.3946309,9.2723484,.37785482,8.8033609,9.7630262,9.1678782,.46226981,8.5595341,9.7548103,9.1866436,.28229874,8.8100681,9.5418177,9.1678782,.46226981,8.5595341,9.7548103,7.3212013,.33957702,6.883162,7.761704,6.6892781,.46922553,6.0918994,7.2773533,7.962307,.57710463,7.2143211,8.7234936
